VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Distance_between_service,Time_between_service,Trip_type 
2,2015-01-01 00:38:42,2015-01-01 00:46:15,N,1,-73.979362487792969,40.682384490966797,-73.9813232421875,40.667263031005859,1,1.40,7.5,0.5,0.5,1.6,0,,0.3,10.4,1,.00,538,1
2,2015-01-01 00:37:08,2015-01-01 00:46:59,N,1,-73.991264343261719,40.663681030273437,-74.017555236816406,40.640403747558594,1,2.16,9.5,0.5,0.5,0,0,,0.3,10.8,2,.00,4,1
2,2015-01-01 00:37:56,2015-01-01 00:47:13,N,1,-73.947799682617188,40.711292266845703,-73.934921264648438,40.698734283447266,1,1.46,8,0.5,0.5,2.12,0,,0.3,11.42,1,.00,62,1
2,2015-01-01 00:38:28,2015-01-01 00:47:35,N,1,-73.98272705078125,40.696300506591797,-73.971923828125,40.679283142089844,6,1.47,8,0.5,0.5,0,0,,0.3,9.3,2,.00,15,1
2,2015-01-01 00:37:49,2015-01-01 00:48:25,N,1,-73.89654541015625,40.746391296386719,-73.935958862304688,40.735080718994141,1,2.25,10,0.5,0.5,0,0,,0.3,11.3,2,.00,134,1
2,2015-01-01 00:38:21,2015-01-01 00:48:49,N,1,-73.972015380859375,40.689563751220703,-73.994194030761719,40.694698333740234,1,1.69,9,0.5,0.5,0,0,,0.3,10.3,2,.00,29,1
2,2015-01-01 00:37:21,2015-01-01 00:48:14,N,1,-73.962821960449219,40.690086364746094,-73.947280883789063,40.672706604003906,1,2.17,9.5,0.5,0.5,0,0,,0.3,10.8,2,.00,52,1
2,2015-01-01 00:38:02,2015-01-01 00:49:26,N,1,-73.880294799804687,40.756175994873047,-73.918327331542969,40.765514373779297,1,3.03,12,0.5,0.5,2.5,0,,0.3,15.8,1,.00,151,1
2,2015-01-01 00:38:27,2015-01-01 00:48:44,N,1,-73.846778869628906,40.836811065673828,-73.880630493164063,40.830753326416016,1,1.95,9.5,0.5,0.5,0,0,,0.3,10.8,2,.00,157,1
2,2015-01-01 00:37:24,2015-01-01 00:50:19,N,1,-73.964317321777344,40.680965423583984,-73.948890686035156,40.710971832275391,1,.12,2.5,0.5,0.5,0,0,,0.3,3.8,2,.00,1177,1
2,2015-01-01 00:38:03,2015-01-01 00:50:01,N,1,-73.920761108398438,40.846893310546875,-73.925056457519531,40.812213897705078,1,2.96,12,0.5,0.5,0,0,,0.3,13.3,2,.00,11260,1
2,2015-01-01 00:37:54,2015-01-01 00:50:35,N,1,-73.901924133300781,40.847316741943359,-73.920463562011719,40.812393188476563,1,4.60,15.5,0.5,0.5,0,0,,0.3,16.8,2,.00,2234,1
2,2015-01-01 00:37:40,2015-01-01 00:51:05,N,1,-73.950141906738281,40.683685302734375,-73.962112426757813,40.717792510986328,1,3.03,12,0.5,0.5,3.12,0,,0.3,16.42,1,3.00,5587,1
2,2015-01-01 00:38:54,2015-01-01 00:51:06,N,1,-73.956886291503906,40.712638854980469,-73.994743347167969,40.660293579101563,5,6.66,20,0.5,0.5,4,0,,0.3,25.3,1,2.00,5801,1
2,2015-01-01 00:38:41,2015-01-01 00:51:39,N,1,-73.957565307617188,40.729763031005859,-73.927192687988281,40.771373748779297,1,3.62,13.5,0.5,0.5,3.5,0,,0,18,1,.00,3550,1
2,2015-01-01 00:37:52,2015-01-01 00:51:53,N,5,-73.832107543945313,40.758914947509766,-73.887016296386719,40.749271392822266,1,3.02,20,0,0,0,0,,0,20,2,7.00,22351,2
2,2015-01-01 00:39:10,2015-01-01 00:52:11,N,1,-73.911636352539063,40.775470733642578,-73.878570556640625,40.756378173828125,1,2.81,12,0.5,0.5,0,0,,0.3,13.3,2,7.00,4042,1
2,2015-01-01 00:38:36,2015-01-01 00:52:42,N,1,-73.892646789550781,40.746662139892578,-73.919792175292969,40.737815856933594,1,2.30,11,0.5,0.5,0,0,,0.3,12.3,2,.00,381,1
2,2015-01-01 00:39:08,2015-01-01 00:52:50,N,1,-73.898185729980469,40.861545562744141,-73.857704162597656,40.861579895019531,1,2.76,12.5,0.5,0.5,0,0,,0.3,13.8,2,3.00,5259,1
2,2015-01-01 00:38:13,2015-01-01 00:52:53,N,1,-73.909439086914063,40.822830200195313,-73.907066345214844,40.851516723632812,5,2.52,11.5,0.5,0.5,0,0,,0.3,12.8,1,.00,2623,1
2,2015-01-01 00:38:47,2015-01-01 00:53:13,N,1,-73.923141479492187,40.708309173583984,-73.947296142578125,40.711341857910156,1,2.65,12,0.5,0.5,2.5,0,,0.3,15.8,1,.00,5134,1
2,2015-01-01 00:39:11,2015-01-01 00:53:51,N,1,-73.863502502441406,40.731765747070312,-73.866752624511719,40.758686065673828,1,2.74,11.5,0.5,0.5,0,0,,0.3,12.8,2,4.00,6582,1
2,2015-01-01 00:38:14,2015-01-01 00:54:05,N,1,-73.956985473632812,40.716545104980469,-73.951400756835938,40.671695709228516,1,3.45,13.5,0.5,0.5,2.8,0,,0.3,17.6,1,5.00,4360,1
2,2015-01-01 00:37:17,2015-01-01 00:54:56,N,1,-73.959007263183594,40.716701507568359,-73.953285217285156,40.666427612304688,1,4.20,15.5,0.5,0.5,3.2,0,,0.3,20,1,.00,110,1
2,2015-01-01 00:38:07,2015-01-01 00:55:36,N,1,-73.97607421875,40.683620452880859,-74.010185241699219,40.711597442626953,1,3.66,15,0.5,0.5,0,0,,0.3,16.3,2,8.00,4740,1
2,2015-01-01 00:34:42,2015-01-01 00:38:34,N,1,-73.922592163085938,40.754528045654297,-73.91363525390625,40.765522003173828,1,.88,5,0.5,0.5,0,0,,0.3,6.3,2,1.00,407,1
2,2015-01-01 00:34:46,2015-01-01 00:47:23,N,1,-73.952751159667969,40.677711486816406,-73.981529235839844,40.658977508544922,1,3.08,12,0.5,0.5,0,0,,0.3,13.3,2,.00,196,1
1,2015-01-01 00:34:44,2015-01-01 00:38:15,N,1,-73.843009948730469,40.71905517578125,-73.846580505371094,40.711566925048828,1,.90,5,0.5,0.5,1.8,0,,0,7.8,1,69.00,3241,1
2,2015-01-01 00:34:48,2015-01-01 00:38:08,N,1,-73.860824584960938,40.757793426513672,-73.854042053222656,40.749820709228516,1,.85,5,0.5,0.5,0,0,,0.3,6.3,2,.00,299,1
2,2015-01-01 00:34:53,2015-01-01 01:09:10,N,1,-73.945182800292969,40.783321380615234,-73.9896240234375,40.765449523925781,1,4.91,24.5,0.5,0.5,0,0,,0.3,25.8,2,5.00,1287,1
1,2015-01-01 00:34:55,2015-01-01 00:40:58,N,1,-73.966812133789063,40.714675903320313,-73.949409484863281,40.718437194824219,4,1.20,6.5,0.5,0.5,0,0,,0.3,7.8,2,3.00,125,1
1,2015-01-01 00:34:49,2015-01-01 00:53:10,N,1,-73.930488586425781,40.850131988525391,-73.978057861328125,40.789058685302734,1,6.60,22,0.5,0.5,0,0,,0.3,23.3,2,.00,31,1
2,2015-01-01 00:35:03,2015-01-01 00:35:08,N,5,-73.863899230957031,40.895439147949219,-73.86187744140625,40.894779205322266,1,.13,15,0,0,0,0,,0,15,1,.00,57,2
2,2015-01-01 00:35:13,2015-01-01 00:41:04,N,1,-73.917129516601562,40.764888763427734,-73.927978515625,40.761470794677734,5,1.18,6.5,0.5,0.5,1.4,0,,0.3,9.2,1,1.00,447,1
2,2015-01-01 00:35:09,2015-01-01 00:42:39,N,1,-73.921401977539062,40.766666412353516,-73.906478881835938,40.778728485107422,2,1.12,7,0.5,0.5,0,0,,0.3,8.3,2,1.00,2095,1
2,2015-01-01 00:34:56,2015-01-01 00:44:39,N,1,-73.912689208984375,40.722507476806641,-73.909194946289062,40.70513916015625,1,1.59,8,0.5,0.5,0,0,,0.3,9.3,2,.00,3081,1
2,2015-01-01 00:34:59,2015-01-01 00:56:16,N,1,-73.91815185546875,40.698833465576172,-73.955116271972656,40.734931945800781,1,3.89,16.5,0.5,0.5,0,0,,0.3,17.8,2,.00,208,1
2,2015-01-01 00:35:07,2015-01-01 00:57:02,N,1,-73.992340087890625,40.697360992431641,-73.821365356445312,40.779621124267578,1,14.01,39,0.5,0.5,6,0,,0.3,46.3,1,9.00,1701,1
2,2015-01-01 00:35:01,2015-01-01 01:00:07,N,1,-73.950569152832031,40.790771484375,-73.999526977539062,40.740314483642578,1,6.74,24,0.5,0.5,6.12,0,,0.3,31.42,1,.00,8493,1
1,2015-01-01 00:35:12,2015-01-01 00:41:58,N,1,-73.899055480957031,40.749988555908203,-73.924285888671875,40.761547088623047,2,1.60,7.5,0.5,0.5,0,0,,0.3,8.8,2,4.00,259,1
2,2015-01-01 00:35:14,2015-01-01 00:37:25,N,1,-73.981521606445313,40.576633453369141,-73.976516723632813,40.577571868896484,1,.58,4,0.5,0.5,0,0,,0.3,5.3,2,2.00,633,1
2,2015-01-01 00:35:29,2015-01-01 00:38:35,N,1,-73.91082763671875,40.768795013427734,-73.914283752441406,40.764755249023438,1,.52,4,0.5,0.5,0,0,,0.3,5.3,2,.00,176,1
2,2015-01-01 00:35:33,2015-01-01 00:39:43,N,1,-73.942108154296875,40.754222869873047,-73.930885314941406,40.771316528320313,1,1.46,6,0.5,0.5,0,0,,0.3,7.3,2,.00,52,1
2,2015-01-01 00:35:13,2015-01-01 00:43:40,N,1,-73.991592407226562,40.685077667236328,-73.9808349609375,40.667877197265625,6,2.02,8.5,0.5,0.5,2.7,0,,0.3,12.5,1,2.00,860,1
2,2015-01-01 00:35:23,2015-01-01 00:43:46,N,1,-73.890785217285156,40.746498107910156,-73.889747619628906,40.764072418212891,1,2.16,9.5,0.5,0.5,0,0,,0.3,10.8,2,.00,1275,1
2,2015-01-01 00:35:26,2015-01-01 00:42:53,N,1,-73.879165649414063,40.752658843994141,-73.89715576171875,40.757961273193359,1,1.32,7.5,0.5,0.5,0,0,,0.3,8.8,2,.00,343,1
2,2015-01-01 00:35:40,2015-01-01 00:44:40,N,1,-73.935745239257813,40.753406524658203,-73.924407958984375,40.761547088623047,2,1.20,7,0.5,0.5,1,0,,0.3,9.3,1,4.00,0,1
2,2015-01-01 00:35:35,2015-01-01 00:52:25,N,1,-73.902442932128906,40.860576629638672,-73.944557189941406,40.809150695800781,1,5.00,17,0.5,0.5,0,0,,0.3,18.3,2,3.00,2318,1
2,2015-01-01 00:35:36,2015-01-01 00:52:35,N,1,-73.939254760742187,40.816402435302734,-73.952987670898437,40.778408050537109,1,3.86,14.5,0.5,0.5,0,0,,0.3,15.8,2,2.00,2041,1
2,2015-01-01 00:35:41,2015-01-01 00:55:58,N,1,-73.948173522949219,40.744876861572266,-74.004981994628906,40.650321960449219,1,10.13,29.5,0.5,0.5,0,0,,0.3,30.8,2,4.00,5998,1
2,2015-01-01 00:35:43,2015-01-01 00:56:12,N,1,-73.951873779296875,40.804603576660156,-73.995628356933594,40.764347076416016,6,4.92,19.5,0.5,0.5,0,0,,0.3,20.8,2,.00,1987,1
